Title,Director,MetaScore,Duration (minutes),IMDb Rating,Certificates,Star Cast,Genre,Year
Longlegs,Oz Perkins,66.9,101.0,7.1,R,Nicolas CageMaika MonroeAlicia Witt,Crime,2024
The Substance,Coralie Fargeat,83.0,116.3,8.0,R,Margaret QualleyDemi MooreDennis Quaid,Drama,2024
Abigail,Matt Bettinelli-Olpin,62.0,109.0,6.7,R,Melissa BarreraDan StevensAlisha Weir,Horror,2024
The Strangers: Chapter 1,Renny Harlin,43.0,91.0,5.0,R,Madelaine PetschRyan BownMatus Lajcak,Horror,2024
Beetlejuice Beetlejuice,Tim Burton,66.9,116.3,7.1,R,Alfred GoughMiles MillarSeth Grahame-Smith,Comedy,2024
Alien,Ridley Scott,89.0,117.0,8.5,R,Dan O'BannonRonald Shusett,Horror,1979
A Quiet Place,John Krasinski,82.0,90.0,7.5,PG-13,Bryan WoodsScott BeckJohn Krasinski,Drama,2018
Deadpool 2,David Leitch,66.0,119.0,7.6,R,Rhett ReesePaul WernickRyan Reynolds,Action,2018
Avengers: Endgame,Anthony Russo,78.0,181.0,8.4,PG-13,Christopher MarkusStephen McFeelyStan Lee,Action,2019
Despicable Me 4,Chris Renaud,66.9,95.0,7.1,PG,Steve CarellKristen WiigJoey King,Animation,2024
Ghostbusters: Afterlife,Jason Reitman,45.0,124.0,7.0,PG-13,Gil KenanJason ReitmanIvan Reitman,Adventure,2021
Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,86.0,140.0,8.6,PG,Shameik MooreHailee SteinfeldBrian Tyree Henry,Animation,2023
Star Wars: Episode I - The Phantom Menace,George Lucas,51.0,136.0,6.5,PG,Ewan McGregorLiam NeesonNatalie Portman,Action,1999
Spider-Man: No Way Home,Jon Watts,71.0,148.0,8.2,PG-13,Chris McKennaErik SommersStan Lee,Action,2021
Ghostbusters,Ivan Reitman,71.0,105.0,7.8,PG,Bill MurrayDan AykroydSigourney Weaver,Action,1984
Rebel Moon - Part Two: The Scargiver,Zack Snyder,35.0,122.0,5.2,PG-13,Zack SnyderKurt JohnstadShay Hatten,Action,2024
The Matrix,Lana Wachowski,73.0,136.0,8.7,R,Keanu ReevesLaurence FishburneCarrie-Anne Moss,Action,1999
Borderlands,Eli Roth,66.9,116.3,7.1,R,Eli RothJoe Crombie,Action,2024
Blade Runner 2049,Denis Villeneuve,81.0,164.0,8.0,R,Hampton FancherMichael GreenPhilip K. Dick,Action,2017
Jurassic Park,Steven Spielberg,68.0,127.0,8.2,PG-13,Michael CrichtonDavid Koepp,Action,1993
The Fifth Element,Luc Besson,52.0,126.0,7.6,PG-13,Luc BessonRobert Mark Kamen,Action,1997
The Hunger Games,Gary Ross,68.0,142.0,7.2,PG-13,Gary RossSuzanne CollinsBilly Ray,Action,2012
Godzilla vs. Kong,Adam Wingard,59.0,113.0,6.3,PG-13,Terry RossioMichael DoughertyZach Shields,Action,2021
Rebel Moon - Part One: A Child of Fire,Zack Snyder,31.0,133.0,5.6,PG-13,Zack SnyderKurt JohnstadShay Hatten,Action,2023
28 Days Later,Danny Boyle,73.0,113.0,7.5,R,Cillian MurphyNaomie HarrisChristopher Eccleston,Drama,2002
Alien: Romulus,Fede Alvarez,66.9,116.3,7.1,R,Fede AlvarezRodo SayaguesDan O'Bannon,Horror,2024
Inception,Christopher Nolan,74.0,148.0,8.8,PG-13,Leonardo DiCaprioJoseph Gordon-LevittElliot Page,Action,2010
A Quiet Place: Day One,Michael Sarnoski,66.9,116.3,7.1,R,Michael SarnoskiJohn KrasinskiBryan Woods,Drama,2024
Dune,David Lynch,41.0,137.0,6.3,PG-13,Kyle MacLachlanVirginia MadsenFrancesca Annis,Action,1984
